USGS Basin,fire_year,fraction_catchment
10271210,2008,0.001868893
10271210,2009,0.009563312
10271211,1966,0.001217051
10271211,1979,0.000100182
10271211,1982,0.000384736
10271211,2008,0.001868893
10271211,2009,0.009563312
10276000,2007,0.020349983
10276000,1962,0.09678185
10276000,1997,0.000396508
10276000,1991,0.000616781
10276000,2002,0.179887417
10276000,2011,0.001487469
10277000,2002,0.242180201
10277400,2007,0.004878067
10277400,2007,9.18E-06
10277400,2007,0.000450237
10277400,2007,3.79E-05
10277400,1960,0.001828909
10277400,1972,9.05E-05
10277400,2005,8.81E-06
10277400,1966,0.000246419
10277400,1966,6.13E-05
10277400,2005,2.40E-05
10277400,2005,1.41E-05
10277400,2005,2.57E-05
10277400,1986,0.000405795
10277400,1986,3.03E-05
10277400,1958,0.000264927
10277400,1986,1.55E-05
10277400,1960,0.001193024
10277400,1972,0.000222482
10277400,1995,0.0035812
10277400,1996,4.17E-05
10277400,1986,6.30E-05
10277400,1972,0.001099387
10277400,1972,0.000115635
10277400,1972,0.000526708
10277400,1972,2.73E-05
10277400,1972,0.000526123
10277400,1984,2.04E-05
10277400,1981,0.000955972
10277400,1962,0.004904274
10277400,1997,7.47E-06
10277400,2003,0.001855128
10277400,1991,0.000156866
10277400,1974,0.000502991
10277400,1983,0.000239176
10277400,1983,0.000200648
10277400,1979,5.05E-06
10277400,1985,0.00020901
10277400,1985,0.002308299
10277400,1981,0.002383504
10277400,1982,1.94E-05
10277400,1985,0.000160179
10277400,1989,5.79E-05
10277400,1972,4.75E-05
10277400,1984,0.002328374
10277400,2002,0.000295649
10277400,1987,0.000452786
10277400,1987,0.000482651
10277400,1988,0.000265597
10277400,2001,0.002047003
10277400,1990,4.19E-05
10277400,1991,1.16E-05
10277400,1993,0.000410856
10277400,2003,6.06E-06
10277400,2005,6.53E-05
10277400,2005,0.000188127
10277400,2002,0.001923186
10277400,2002,0.004855489
10277400,2002,0.000113797
10277400,1977,5.61E-05
10277400,1977,7.67E-05
10277400,1998,0.00257387
10277400,1987,0.000135096
10277400,1987,0.000329027
10277400,1987,0.000767747
10277400,2006,1.38E-05
10277400,2006,6.24E-05
10277400,2006,0.005610547
10277400,2008,6.59E-05
10277400,2008,0.000578615
10277400,2008,0.000267638
10277400,2008,9.42E-05
10277400,2009,3.43E-05
10277400,2009,6.85E-05
10277400,2009,0.000502817
10277400,2010,7.41E-05
10277400,2011,0.000332668
10277400,2011,0.004378254
10277400,2011,0.000155712
10277400,2012,0.000857105
10277400,2012,0.001033098
10277400,2012,9.40E-06
10277400,2013,1.02E-05
10277400,2014,1.37E-05
10277400,2014,8.56E-05
10277400,2015,0.004932027
10277400,2016,0.001817786
10277400,2016,0.004115634
10277400,2016,9.30E-05
10277500,2007,0.00485842
